ID,Produto,Categoria,Preco,Quantidade,Data_Venda,Vendedor,Total_Vendas
40,Produto C,Categoria 2,81.91,6,2023-02-09,Vendedor 2,491.46
41,Produto A,Categoria 2,82.27,12,2023-02-10,Vendedor 3,987.24
42,Produto C,Categoria 2,47.37,9,2023-02-11,Vendedor 2,426.33
43,Produto C,Categoria 3,35.52,7,2023-02-12,Vendedor 2,248.64000000000001
44,Produto A,Categoria 2,35.55,12,2023-02-13,Vendedor 1,426.59999999999997
45,Produto A,Categoria 3,53.41,5,2023-02-14,Vendedor 3,267.04999999999995
46,Produto C,Categoria 2,74.76,16,2023-02-15,Vendedor 2,1196.16
47,Produto B,Categoria 2,42.3,5,2023-02-16,Vendedor 3,211.5
48,Produto A,Categoria 1,64.9,12,2023-02-17,Vendedor 2,778.8000000000001
49,Produto B,Categoria 2,44.42,9,2023-02-18,Vendedor 1,399.78000000000003
50,Produto B,Categoria 2,37.41,7,2023-02-19,Vendedor 2,261.87
51,Produto B,Categoria 1,12.24,19,2023-02-20,Vendedor 2,232.56
52,Produto A,Categoria 3,10.35,11,2023-02-21,Vendedor 2,113.85
53,Produto B,Categoria 3,30.45,12,2023-02-22,Vendedor 1,365.4
54,Produto A,Categoria 2,46.58,3,2023-02-23,Vendedor 1,139.74
55,Produto B,Categoria 3,86.61,17,2023-02-24,Vendedor 3,1472.37
56,Produto C,Categoria 2,81.86,7,2023-02-25,Vendedor 1,573.02
57,Produto C,Categoria 1,34.04,10,2023-02-26,Vendedor 1,340.4
58,Produto A,Categoria 1,32.01,15,2023-02-27,Vendedor 3,480.15
59,Produto C,Categoria 2,30.46,2,2023-02-28,Vendedor 2,60.92
60,Produto C,Categoria 1,40.53,13,2023-03-01,Vendedor 1,526.89
61,Produto B,Categoria 1,54.84,4,2023-03-02,Vendedor 1,219.36
62,Produto A,Categoria 2,49.48,18,2023-03-03,Vendedor 2,890.64
63,Produto B,Categoria 2,29.64,1,2023-03-04,Vendedor 1,29.64
64,Produto B,Categoria 1,21.74,2,2023-03-05,Vendedor 1,43.48
65,Produto B,Categoria 3,11.13,2,2023-03-06,Vendedor 3,22.26
66,Produto B,Categoria 3,23.86,4,2023-03-07,Vendedor 1,95.44
67,Produto B,Categoria 2,73.48,3,2023-03-08,Vendedor 3,220.44
68,Produto B,Categoria 2,31.93,17,2023-03-09,Vendedor 3,542.81
69,Produto B,Categoria 3,52.17,14,2023-03-10,Vendedor 3,730.38
70,Produto A,Categoria 1,63.22,2,2023-03-11,Vendedor 1,126.44
71,Produto C,Categoria 3,89.82,16,2023-03-12,Vendedor 1,1437.12
72,Produto B,Categoria 3,90.0,11,2023-03-13,Vendedor 1,990.0
73,Produto B,Categoria 3,77.12,13,2023-03-14,Vendedor 3,1002.5600000000001
74,Produto B,Categoria 3,13.16,1,2023-03-15,Vendedor 1,13.16
75,Produto B,Categoria 2,61.76,2,2023-03-16,Vendedor 3,123.52
76,Produto B,Categoria 2,80.79,2,2023-03-17,Vendedor 3,161.58
77,Produto B,Categoria 1,11.56,5,2023-03-18,Vendedor 3,57.800000000000004
78,Produto C,Categoria 1,59.47,4,2023-03-19,Vendedor 2,237.88
79,Produto C,Categoria 1,87.2,12,2023-03-20,Vendedor 1,1046.4
80,Produto B,Categoria 1,52.67,3,2023-03-21,Vendedor 1,158.01
81,Produto C,Categoria 3,10.37,10,2023-03-22,Vendedor 3,103.69999999999999
82,Produto A,Categoria 2,10.99,18,2023-03-23,Vendedor 1,197.82
83,Produto B,Categoria 2,47.5,10,2023-03-24,Vendedor 3,475.0
84,Produto A,Categoria 1,23.95,1,2023-03-25,Vendedor 1,23.95
85,Produto A,Categoria 1,69.8,6,2023-03-26,Vendedor 3,418.79999999999995
86,Produto B,Categoria 3,73.79,11,2023-03-27,Vendedor 3,811.69
87,Produto C,Categoria 3,26.01,2,2023-03-28,Vendedor 2,52.02
88,Produto A,Categoria 1,89.97,7,2023-03-29,Vendedor 3,629.79
89,Produto B,Categoria 2,49.77,18,2023-03-30,Vendedor 2,895.86
90,Produto A,Categoria 2,22.86,19,2023-03-31,Vendedor 1,434.34
91,Produto A,Categoria 2,78.78,4,2023-04-01,Vendedor 1,315.12
92,Produto A,Categoria 1,81.1,13,2023-04-02,Vendedor 2,1054.3
93,Produto A,Categoria 2,67.54,18,2023-04-03,Vendedor 1,1215.72
94,Produto C,Categoria 3,86.81,13,2023-04-04,Vendedor 2,1128.53
95,Produto A,Categoria 3,76.36,19,2023-04-05,Vendedor 1,1450.84
96,Produto A,Categoria 1,89.4,17,2023-04-06,Vendedor 2,1519.8000000000002
97,Produto A,Categoria 3,49.05,1,2023-04-07,Vendedor 2,49.05
98,Produto C,Categoria 1,77.28,6,2023-04-08,Vendedor 3,463.68
99,Produto A,Categoria 2,99.98,19,2023-04-09,Vendedor 1,1899.6200000000001
100,Produto A,Categoria 2,75.24,1,2023-04-10,Vendedor 3,75.24
101,Produto C,Categoria 2,20.28,8,2023-04-11,Vendedor 2,162.24
102,Produto C,Categoria 3,56.65,17,2023-04-12,Vendedor 3,963.05
103,Produto C,Categoria 1,62.86,15,2023-04-13,Vendedor 2,942.9
104,Produto A,Categoria 2,25.68,18,2023-04-14,Vendedor 1,462.24
105,Produto C,Categoria 1,96.66,7,2023-04-15,Vendedor 1,676.62
106,Produto C,Categoria 2,25.8,16,2023-04-16,Vendedor 1,412.8
107,Produto A,Categoria 3,25.98,7,2023-04-17,Vendedor 2,181.86
108,Produto C,Categoria 3,92.37,17,2023-04-18,Vendedor 3,1570.29
109,Produto A,Categoria 1,51.87,4,2023-04-19,Vendedor 1,207.48
110,Produto B,Categoria 3,15.69,12,2023-04-20,Vendedor 2,188.28
111,Produto C,Categoria 3,63.84,13,2023-04-21,Vendedor 3,829.9200000000001
112,Produto B,Categoria 1,64.16,4,2023-04-22,Vendedor 2,256.64
113,Produto A,Categoria 2,15.81,1,2023-04-23,Vendedor 2,15.81
114,Produto C,Categoria 3,97.53,1,2023-04-24,Vendedor 1,97.53
115,Produto A,Categoria 1,58.96,7,2023-04-25,Vendedor 2,412.72
116,Produto B,Categoria 3,60.38,9,2023-04-26,Vendedor 2,543.4200000000001
117,Produto A,Categoria 3,56.81,1,2023-04-27,Vendedor 3,56.81
118,Produto C,Categoria 3,64.97,16,2023-04-28,Vendedor 1,1039.52
119,Produto C,Categoria 3,33.79,18,2023-04-29,Vendedor 2,608.22
120,Produto B,Categoria 1,35.85,15,2023-04-30,Vendedor 2,537.75
121,Produto A,Categoria 1,56.02,6,2023-05-01,Vendedor 1,336.12
122,Produto C,Categoria 1,82.6,2,2023-05-02,Vendedor 2,165.2
123,Produto B,Categoria 3,14.49,9,2023-05-03,Vendedor 2,130.41
124,Produto C,Categoria 3,64.31,4,2023-05-04,Vendedor 2,257.24
125,Produto C,Categoria 3,82.61,13,2023-05-05,Vendedor 2,1073.93
126,Produto A,Categoria 1,24.12,11,2023-05-06,Vendedor 2,265.32
127,Produto C,Categoria 3,11.35,13,2023-05-07,Vendedor 3,147.54999999999998
128,Produto A,Categoria 2,38.14,11,2023-05-08,Vendedor 2,419.54
129,Produto C,Categoria 3,62.93,19,2023-05-09,Vendedor 2,1195.67
130,Produto B,Categoria 2,22.45,8,2023-05-10,Vendedor 2,179.6
131,Produto C,Categoria 3,48.35,7,2023-05-11,Vendedor 2,338.45
132,Produto A,Categoria 1,59.71,16,2023-05-12,Vendedor 1,955.36
133,Produto A,Categoria 3,63.9,3,2023-05-13,Vendedor 1,191.7
134,Produto B,Categoria 2,34.7,17,2023-05-14,Vendedor 1,589.9000000000001
135,Produto C,Categoria 2,46.0,18,2023-05-15,Vendedor 1,828.0
136,Produto C,Categoria 3,80.05,15,2023-05-16,Vendedor 3,1200.75
137,Produto B,Categoria 2,94.71,17,2023-05-17,Vendedor 1,1610.07
138,Produto C,Categoria 2,87.57,11,2023-05-18,Vendedor 3,963.27
139,Produto C,Categoria 1,60.79,5,2023-05-19,Vendedor 1,303.95
140,Produto A,Categoria 3,46.93,16,2023-05-20,Vendedor 3,750.88
141,Produto C,Categoria 3,39.97,15,2023-05-21,Vendedor 1,599.55
142,Produto C,Categoria 3,21.25,10,2023-05-22,Vendedor 2,212.5
143,Produto B,Categoria 2,19.59,14,2023-05-23,Vendedor 1,274.26
144,Produto B,Categoria 3,71.95,2,2023-05-24,Vendedor 1,143.9
145,Produto A,Categoria 3,33.38,16,2023-05-25,Vendedor 1,534.08
146,Produto C,Categoria 1,32.92,19,2023-05-26,Vendedor 2,625.48
147,Produto C,Categoria 1,99.84,8,2023-05-27,Vendedor 3,798.72
148,Produto C,Categoria 1,26.91,15,2023-05-28,Vendedor 3,403.65
149,Produto A,Categoria 2,23.33,10,2023-05-29,Vendedor 2,233.29999999999998
150,Produto A,Categoria 3,18.88,5,2023-05-30,Vendedor 1,94.39999999999999
151,Produto B,Categoria 1,62.18,16,2023-05-31,Vendedor 1,994.88
152,Produto A,Categoria 1,66.51,12,2023-06-01,Vendedor 1,798.1200000000001
153,Produto C,Categoria 1,42.87,13,2023-06-02,Vendedor 3,557.31
154,Produto C,Categoria 3,58.19,9,2023-06-03,Vendedor 1,523.71
155,Produto A,Categoria 3,80.96,17,2023-06-04,Vendedor 2,1376.32
156,Produto C,Categoria 3,83.63,12,2023-06-05,Vendedor 2,1003.56
157,Produto C,Categoria 2,96.21,5,2023-06-06,Vendedor 3,481.04999999999995
158,Produto A,Categoria 2,84.18,12,2023-06-07,Vendedor 1,1010.1600000000001
159,Produto A,Categoria 1,60.84,1,2023-06-08,Vendedor 1,60.84
160,Produto C,Categoria 3,26.17,16,2023-06-09,Vendedor 1,418.72
161,Produto C,Categoria 1,18.98,12,2023-06-10,Vendedor 1,227.76
162,Produto C,Categoria 3,14.91,9,2023-06-11,Vendedor 2,134.19
163,Produto B,Categoria 3,69.99,13,2023-06-12,Vendedor 2,909.8699999999999
164,Produto B,Categoria 3,82.68,17,2023-06-13,Vendedor 3,1405.5600000000002
165,Produto B,Categoria 2,55.78,17,2023-06-14,Vendedor 2,948.26
166,Produto A,Categoria 2,14.92,4,2023-06-15,Vendedor 1,59.68
167,Produto B,Categoria 3,58.19,14,2023-06-16,Vendedor 3,814.66
168,Produto A,Categoria 1,94.22,19,2023-06-17,Vendedor 2,1790.18
169,Produto A,Categoria 3,63.79,7,2023-06-18,Vendedor 2,446.53
170,Produto B,Categoria 3,82.85,3,2023-06-19,Vendedor 2,248.54999999999998
171,Produto B,Categoria 1,82.01,1,2023-06-20,Vendedor 2,82.01
172,Produto B,Categoria 3,93.89,12,2023-06-21,Vendedor 2,1126.68
173,Produto C,Categoria 1,79.32,15,2023-06-22,Vendedor 1,1189.8
174,Produto B,Categoria 2,77.29,11,2023-06-23,Vendedor 1,850.19
175,Produto C,Categoria 2,31.07,10,2023-06-24,Vendedor 1,310.7
176,Produto A,Categoria 1,15.39,2,2023-06-25,Vendedor 2,30.78
177,Produto C,Categoria 2,56.58,4,2023-06-26,Vendedor 3,226.32
178,Produto B,Categoria 2,21.2,17,2023-06-27,Vendedor 1,360.4
179,Produto A,Categoria 1,96.6,17,2023-06-28,Vendedor 1,1642.1999999999998
180,Produto A,Categoria 2,36.09,8,2023-06-29,Vendedor 2,288.72
181,Produto A,Categoria 3,86.76,14,2023-06-30,Vendedor 3,1214.64
182,Produto C,Categoria 3,44.89,4,2023-07-01,Vendedor 1,179.56
183,Produto B,Categoria 1,39.09,6,2023-07-02,Vendedor 1,234.54000000000002
184,Produto A,Categoria 2,94.16,19,2023-07-03,Vendedor 3,1789.04
185,Produto A,Categoria 3,42.7,4,2023-07-04,Vendedor 2,170.8
186,Produto A,Categoria 3,45.13,3,2023-07-05,Vendedor 3,135.39000000000001
187,Produto C,Categoria 2,19.55,6,2023-07-06,Vendedor 2,117.30000000000001
188,Produto C,Categoria 2,70.34,7,2023-07-07,Vendedor 1,492.38
189,Produto B,Categoria 3,36.0,14,2023-07-08,Vendedor 3,504.0
190,Produto C,Categoria 3,62.7,12,2023-07-09,Vendedor 3,752.4000000000001
191,Produto A,Categoria 1,63.22,16,2023-07-10,Vendedor 1,1011.52
192,Produto B,Categoria 1,74.73,8,2023-07-11,Vendedor 1,597.84
193,Produto A,Categoria 3,77.07,2,2023-07-12,Vendedor 2,154.14
194,Produto A,Categoria 1,56.3,13,2023-07-13,Vendedor 1,731.9
195,Produto C,Categoria 3,39.79,8,2023-07-14,Vendedor 1,318.32
196,Produto B,Categoria 3,85.37,16,2023-07-15,Vendedor 3,1365.92
197,Produto C,Categoria 1,37.89,4,2023-07-16,Vendedor 2,151.56
198,Produto C,Categoria 1,55.68,16,2023-07-17,Vendedor 1,890.88
199,Produto B,Categoria 2,46.11,6,2023-07-18,Vendedor 3,276.65999999999997
200,Produto A,Categoria 2,86.96,4,2023-07-19,Vendedor 1,347.84
201,Produto A,Categoria 2,48.87,16,2023-07-20,Vendedor 1,781.92
202,Produto B,Categoria 3,44.75,13,2023-07-21,Vendedor 1,581.75
203,Produto A,Categoria 1,72.08,5,2023-07-22,Vendedor 1,360.4
204,Produto B,Categoria 3,64.22,15,2023-07-23,Vendedor 2,963.3
205,Produto B,Categoria 1,19.65,8,2023-07-24,Vendedor 1,157.2
206,Produto C,Categoria 3,55.74,7,2023-07-25,Vendedor 3,390.18
207,Produto B,Categoria 2,76.19,14,2023-07-26,Vendedor 1,1066.6599999999999
208,Produto C,Categoria 2,99.29,7,2023-07-27,Vendedor 3,695.0300000000001
209,Produto A,Categoria 2,66.62,7,2023-07-28,Vendedor 1,466.34000000000003
210,Produto A,Categoria 3,43.33,18,2023-07-29,Vendedor 3,779.9399999999999
211,Produto A,Categoria 1,30.35,10,2023-07-30,Vendedor 2,303.5
212,Produto A,Categoria 1,88.55,18,2023-07-31,Vendedor 2,1593.8999999999999
213,Produto C,Categoria 2,83.31,14,2023-08-01,Vendedor 3,1166.3400000000001
214,Produto A,Categoria 2,31.05,10,2023-08-02,Vendedor 1,310.5
215,Produto B,Categoria 2,28.06,7,2023-08-03,Vendedor 1,196.42
216,Produto B,Categoria 2,74.36,7,2023-08-04,Vendedor 1,520.52
217,Produto B,Categoria 1,38.35,7,2023-08-05,Vendedor 1,268.45
218,Produto C,Categoria 3,37.58,5,2023-08-06,Vendedor 2,187.89999999999998
219,Produto A,Categoria 3,23.71,1,2023-08-07,Vendedor 1,23.71
220,Produto A,Categoria 3,33.76,14,2023-08-08,Vendedor 1,472.64
221,Produto A,Categoria 3,48.48,18,2023-08-09,Vendedor 1,872.64
222,Produto C,Categoria 2,75.96,13,2023-08-10,Vendedor 1,987.4799999999999
223,Produto B,Categoria 2,40.27,8,2023-08-11,Vendedor 2,322.16
224,Produto B,Categoria 2,39.57,8,2023-08-12,Vendedor 3,316.56
225,Produto A,Categoria 3,35.64,10,2023-08-13,Vendedor 3,356.4
226,Produto B,Categoria 2,53.05,17,2023-08-14,Vendedor 1,901.8499999999999
227,Produto B,Categoria 2,26.26,6,2023-08-15,Vendedor 1,157.56
228,Produto C,Categoria 1,53.71,15,2023-08-16,Vendedor 3,805.65
229,Produto C,Categoria 1,73.38,15,2023-08-17,Vendedor 2,1100.6999999999998
230,Produto C,Categoria 2,12.68,16,2023-08-18,Vendedor 2,202.88
231,Produto C,Categoria 1,10.88,8,2023-08-19,Vendedor 2,87.04
232,Produto A,Categoria 1,16.76,19,2023-08-20,Vendedor 2,318.44000000000005
233,Produto C,Categoria 2,58.21,15,2023-08-21,Vendedor 2,873.15
234,Produto B,Categoria 2,86.9,3,2023-08-22,Vendedor 2,260.70000000000005
235,Produto A,Categoria 2,10.44,6,2023-08-23,Vendedor 1,62.64
236,Produto B,Categoria 2,94.3,8,2023-08-24,Vendedor 2,754.4
237,Produto B,Categoria 3,19.57,16,2023-08-25,Vendedor 2,313.12
238,Produto B,Categoria 3,85.78,15,2023-08-26,Vendedor 1,1286.7
239,Produto C,Categoria 2,53.46,13,2023-08-27,Vendedor 2,694.98
240,Produto C,Categoria 1,69.34,15,2023-08-28,Vendedor 1,1040.1000000000001
241,Produto A,Categoria 2,55.96,18,2023-08-29,Vendedor 3,1007.28
242,Produto A,Categoria 2,52.93,13,2023-08-30,Vendedor 1,688.09
243,Produto C,Categoria 1,85.14,8,2023-08-31,Vendedor 3,681.12
244,Produto B,Categoria 3,78.03,14,2023-09-01,Vendedor 1,1092.42
245,Produto A,Categoria 2,53.51,11,2023-09-02,Vendedor 3,588.61
246,Produto C,Categoria 2,20.05,6,2023-09-03,Vendedor 1,120.30000000000001
247,Produto C,Categoria 3,20.39,1,2023-09-04,Vendedor 1,20.39
248,Produto C,Categoria 3,82.14,2,2023-09-05,Vendedor 3,164.28
249,Produto B,Categoria 1,57.65,13,2023-09-06,Vendedor 2,749.4499999999999
250,Produto C,Categoria 3,53.34,1,2023-09-07,Vendedor 2,53.34
251,Produto C,Categoria 3,71.25,4,2023-09-08,Vendedor 2,285.0
252,Produto C,Categoria 3,87.3,2,2023-09-09,Vendedor 2,174.6
253,Produto C,Categoria 1,66.6,16,2023-09-10,Vendedor 2,1065.6
254,Produto A,Categoria 3,78.66,3,2023-09-11,Vendedor 1,235.98
255,Produto A,Categoria 3,78.87,17,2023-09-12,Vendedor 2,1340.79
256,Produto C,Categoria 1,42.06,5,2023-09-13,Vendedor 1,210.3
257,Produto B,Categoria 3,34.67,8,2023-09-14,Vendedor 3,277.36
258,Produto A,Categoria 3,82.1,12,2023-09-15,Vendedor 2,985.1999999999999
259,Produto C,Categoria 1,43.95,12,2023-09-16,Vendedor 2,527.4000000000001
260,Produto A,Categoria 2,91.3,1,2023-09-17,Vendedor 2,91.3
261,Produto A,Categoria 1,16.27,1,2023-09-18,Vendedor 2,16.27
262,Produto B,Categoria 3,15.24,15,2023-09-19,Vendedor 1,228.6
263,Produto C,Categoria 3,93.43,17,2023-09-20,Vendedor 1,1588.3100000000002
264,Produto C,Categoria 3,68.36,2,2023-09-21,Vendedor 1,136.72
265,Produto B,Categoria 3,44.16,17,2023-12-31,Vendedor 3,750.7199999999999
266,Produto B,Categoria 3,77.96,9,2023-09-23,Vendedor 1,701.64
267,Produto C,Categoria 3,70.51,12,2023-09-24,Vendedor 2,846.1200000000001
268,Produto C,Categoria 1,57.81,4,2023-09-25,Vendedor 3,231.24
269,Produto B,Categoria 2,18.9,13,2023-09-26,Vendedor 3,245.7
270,Produto A,Categoria 2,83.1,4,2023-09-27,Vendedor 2,332.4
271,Produto B,Categoria 3,87.94,7,2023-09-28,Vendedor 2,615.5799999999999
272,Produto B,Categoria 1,25.5,14,2023-09-29,Vendedor 2,357.0
273,Produto A,Categoria 3,86.55,9,2023-09-30,Vendedor 2,778.9499999999999
274,Produto B,Categoria 1,89.01,1,2023-10-01,Vendedor 1,89.01
275,Produto A,Categoria 1,59.45,1,2023-10-02,Vendedor 3,59.45
276,Produto A,Categoria 2,69.06,4,2023-10-03,Vendedor 2,276.24
277,Produto C,Categoria 2,44.4,1,2023-10-04,Vendedor 1,44.4
278,Produto C,Categoria 1,35.36,10,2023-10-05,Vendedor 2,353.6
279,Produto A,Categoria 3,74.98,2,2023-10-06,Vendedor 1,149.96
280,Produto A,Categoria 2,87.57,15,2023-10-07,Vendedor 2,1313.55
281,Produto C,Categoria 3,68.87,3,2023-10-08,Vendedor 2,206.61
282,Produto C,Categoria 2,56.04,9,2023-10-09,Vendedor 2,504.36
283,Produto C,Categoria 2,24.3,17,2023-10-10,Vendedor 1,413.1
284,Produto B,Categoria 3,14.81,13,2023-10-11,Vendedor 2,192.53
285,Produto A,Categoria 2,50.11,3,2023-10-12,Vendedor 1,150.32999999999998
286,Produto C,Categoria 2,14.44,4,2023-10-13,Vendedor 1,57.76
287,Produto A,Categoria 3,61.24,4,2023-10-14,Vendedor 3,244.96
288,Produto B,Categoria 2,44.45,11,2023-10-15,Vendedor 1,488.95000000000005
289,Produto B,Categoria 2,78.15,7,2023-10-16,Vendedor 1,547.0500000000001
290,Produto C,Categoria 2,37.51,11,2023-10-17,Vendedor 1,412.60999999999996
291,Produto B,Categoria 3,63.37,11,2023-10-18,Vendedor 1,697.0699999999999
292,Produto A,Categoria 1,58.39,10,2023-10-19,Vendedor 1,583.9
293,Produto C,Categoria 3,10.42,5,2023-10-20,Vendedor 3,52.1
294,Produto A,Categoria 1,16.52,13,2023-10-21,Vendedor 2,214.76
295,Produto A,Categoria 2,36.13,12,2023-10-22,Vendedor 3,433.56000000000006
296,Produto B,Categoria 1,89.4,10,2023-10-23,Vendedor 3,894.0
297,Produto B,Categoria 3,23.23,7,2023-10-24,Vendedor 2,162.61
298,Produto B,Categoria 3,73.98,19,2023-10-25,Vendedor 1,1405.6200000000001
299,Produto B,Categoria 2,97.6,19,2023-10-26,Vendedor 2,1854.3999999999999
300,Produto B,Categoria 1,81.15,19,2023-10-27,Vendedor 1,1541.8500000000001
301,Produto C,Categoria 2,31.87,12,2023-10-28,Vendedor 2,382.44
302,Produto A,Categoria 2,91.75,15,2023-10-29,Vendedor 3,1376.25
303,Produto A,Categoria 3,18.38,5,2023-10-30,Vendedor 1,91.89999999999999
304,Produto A,Categoria 1,52.13,14,2023-10-31,Vendedor 3,729.82
305,Produto A,Categoria 1,89.88,12,2023-11-01,Vendedor 1,1078.56
306,Produto B,Categoria 1,67.71,11,2023-11-02,Vendedor 2,744.81
307,Produto A,Categoria 1,47.23,5,2023-11-03,Vendedor 2,236.14999999999998
308,Produto C,Categoria 2,36.35,16,2023-11-04,Vendedor 2,581.6
309,Produto C,Categoria 2,43.76,18,2023-11-05,Vendedor 2,787.68
310,Produto A,Categoria 3,55.8,12,2023-11-06,Vendedor 2,669.5999999999999
311,Produto A,Categoria 2,38.71,5,2023-11-07,Vendedor 3,193.55
312,Produto C,Categoria 2,97.21,16,2023-11-08,Vendedor 3,1555.36
313,Produto C,Categoria 3,93.98,12,2023-11-09,Vendedor 1,1127.76
314,Produto B,Categoria 3,88.36,2,2023-11-10,Vendedor 3,176.72
315,Produto C,Categoria 3,47.96,6,2023-11-11,Vendedor 1,287.76
316,Produto B,Categoria 2,72.22,4,2023-11-12,Vendedor 1,288.88
317,Produto B,Categoria 2,91.25,13,2023-11-13,Vendedor 3,1186.25
318,Produto B,Categoria 3,86.54,10,2023-11-14,Vendedor 3,865.4000000000001
319,Produto B,Categoria 3,47.29,17,2023-11-15,Vendedor 1,803.93
320,Produto B,Categoria 3,20.11,14,2023-11-16,Vendedor 3,281.53999999999996
321,Produto A,Categoria 2,16.81,15,2023-11-17,Vendedor 3,252.14999999999998
322,Produto C,Categoria 2,61.94,8,2023-11-18,Vendedor 3,495.52
323,Produto B,Categoria 1,67.84,18,2023-11-19,Vendedor 2,1221.1200000000001
324,Produto C,Categoria 2,86.49,3,2023-11-20,Vendedor 2,259.46999999999997
325,Produto C,Categoria 2,36.33,17,2023-11-21,Vendedor 1,617.61
326,Produto B,Categoria 2,25.07,7,2023-11-22,Vendedor 3,175.49
327,Produto A,Categoria 3,44.11,13,2023-11-23,Vendedor 1,573.43
328,Produto B,Categoria 2,41.82,16,2023-11-24,Vendedor 3,669.12
329,Produto A,Categoria 3,21.92,5,2023-11-25,Vendedor 2,109.60000000000001
330,Produto C,Categoria 1,70.51,4,2023-11-26,Vendedor 3,282.04
331,Produto A,Categoria 1,55.78,10,2023-11-27,Vendedor 3,557.8
332,Produto A,Categoria 3,74.9,13,2023-11-28,Vendedor 3,973.7
333,Produto A,Categoria 3,41.74,10,2023-11-29,Vendedor 2,417.40000000000003
334,Produto C,Categoria 3,39.31,14,2023-11-30,Vendedor 2,550.34
335,Produto C,Categoria 2,52.53,12,2023-12-01,Vendedor 2,630.36
336,Produto A,Categoria 1,88.97,1,2023-12-02,Vendedor 1,88.97
337,Produto A,Categoria 3,13.63,7,2023-12-03,Vendedor 3,95.41000000000001
338,Produto B,Categoria 2,82.43,9,2023-12-04,Vendedor 2,741.8700000000001
339,Produto A,Categoria 1,43.21,8,2023-12-05,Vendedor 1,345.68
340,Produto B,Categoria 2,86.92,13,2023-12-06,Vendedor 2,1129.96
341,Produto A,Categoria 1,82.2,14,2023-12-07,Vendedor 3,1150.8
342,Produto B,Categoria 2,41.39,12,2023-12-08,Vendedor 1,496.68
343,Produto C,Categoria 1,72.45,8,2023-12-09,Vendedor 2,579.6
344,Produto A,Categoria 1,24.37,18,2023-12-10,Vendedor 2,438.66
345,Produto A,Categoria 2,90.67,16,2023-12-11,Vendedor 1,1450.72
346,Produto A,Categoria 3,46.4,11,2023-12-12,Vendedor 1,510.4
347,Produto A,Categoria 1,51.01,16,2023-12-13,Vendedor 1,816.16
